x1,x2,col
0,1,black
1,0,black
1,1,black
-1,0,black
0,-1,black
-1,-1,black
-1,1,black
1,-1,black
1,-0.9,black
1,-0.8,black
1,-0.7,black
1,-0.6,black
1,-0.5,black
1,-0.4,black
1,-0.3,black
1,-0.2,black
1,-0.1,black
1,0,black
1,0.1,black
1,0.2,black
1,0.3,black
1,0.4,black
1,0.5,black
1,0.6,black
1,0.7,black
1,0.8,black
1,0.9,black
-1,-0.9,black
-1,-0.8,black
-1,-0.7,black
-1,-0.6,black
-1,-0.5,black
-1,-0.4,black
-1,-0.3,black
-1,-0.2,black
-1,-0.1,black
-1,0,black
-1,0.1,black
-1,0.2,black
-1,0.3,black
-1,0.4,black
-1,0.5,black
-1,0.6,black
-1,0.7,black
-1,0.8,black
-1,0.9,black
-0.9,1,black
-0.8,1,black
-0.7,1,black
-0.6,1,black
-0.5,1,black
-0.4,1,black
-0.3,1,black
-0.2,1,black
-0.1,1,black
0,1,black
0.1,1,black
0.2,1,black
0.3,1,black
0.4,1,black
0.5,1,black
0.6,1,black
0.7,1,black
0.8,1,black
0.9,1,black
-0.9,-1,black
-0.8,-1,black
-0.7,-1,black
-0.6,-1,black
-0.5,-1,black
-0.4,-1,black
-0.3,-1,black
-0.2,-1,black
-0.1,-1,black
0,-1,black
0.1,-1,black
0.2,-1,black
0.3,-1,black
0.4,-1,black
0.5,-1,black
0.6,-1,black
0.7,-1,black
0.8,-1,black
0.9,-1,black
-3,-3,blue
-3,-2.9,blue
-3,-2.8,blue
-3,-2.7,blue
-3,-2.6,blue
-3,-2.5,blue
-3,-2.4,blue
-3,-2.3,blue
-3,-2.2,blue
-3,-2.1,blue
-3,-2,blue
-3,-1.9,blue
-3,-1.8,blue
-3,-1.7,blue
-3,-1.6,blue
-3,-1.5,blue
-3,-1.4,blue
-3,-1.3,blue
-3,-1.2,blue
-3,-1.1,blue
-3,-1,blue
-3,-0.9,blue
-3,-0.8,blue
-3,-0.7,blue
-3,-0.6,blue
-3,-0.5,blue
-3,-0.4,blue
-3,-0.3,blue
-3,-0.2,blue
-3,-0.1,blue
-3,0,blue
-3,0.1,blue
-3,0.2,blue
-3,0.3,blue
-3,0.4,blue
-3,0.5,blue
-3,0.6,blue
-3,0.7,blue
-3,0.8,blue
-3,0.9,blue
-3,1,blue
-3,1.1,blue
-3,1.2,blue
-3,1.3,blue
-3,1.4,blue
-3,1.5,blue
-3,1.6,blue
-3,1.7,blue
-3,1.8,blue
-3,1.9,blue
-3,2,blue
-3,2.1,blue
-3,2.2,blue
-3,2.3,blue
-3,2.4,blue
-3,2.5,blue
-3,2.6,blue
-3,2.7,blue
-3,2.8,blue
-3,2.9,blue
-3,3,blue
3,-3,blue
3,-2.9,blue
3,-2.8,blue
3,-2.7,blue
3,-2.6,blue
3,-2.5,blue
3,-2.4,blue
3,-2.3,blue
3,-2.2,blue
3,-2.1,blue
3,-2,blue
3,-1.9,blue
3,-1.8,blue
3,-1.7,blue
3,-1.6,blue
3,-1.5,blue
3,-1.4,blue
3,-1.3,blue
3,-1.2,blue
3,-1.1,blue
3,-1,blue
3,-0.9,blue
3,-0.8,blue
3,-0.7,blue
3,-0.6,blue
3,-0.5,blue
3,-0.4,blue
3,-0.3,blue
3,-0.2,blue
3,-0.1,blue
3,0,blue
3,0.1,blue
3,0.2,blue
3,0.3,blue
3,0.4,blue
3,0.5,blue
3,0.6,blue
3,0.7,blue
